source,search_date,query_or_seed,record_title,advanced_to_title_abstract_screening,included_in_final_83
elicit,2026-08-02,"Which original research papers use generative sequence-to-sequence, text-to-triple, or text-to-graph methods to transform unstructured natural-language text into structured knowledge graph output? Include methods that generate entities, relations, triples, RDF, or graph structures. Exclude surveys and papers without direct Text-to-Knowledge-Graph relevance.",Seq2KG: An End-to-End Neural Model for Domain Agnostic Knowledge Graph Construction from Text,yes,yes
elicit,2026-08-02,"Which original research papers use generative sequence-to-sequence, text-to-triple, or text-to-graph methods to transform unstructured natural-language text into structured knowledge graph output? Include methods that generate entities, relations, triples, RDF, or graph structures. Exclude surveys and papers without direct Text-to-Knowledge-Graph relevance.",An Autoregressive Text-to-Graph Framework for Joint Entity and Relation Extraction,yes,yes
elicit,2026-08-02,"Which original research papers use zero-shot or few-shot large language model prompting to construct knowledge graphs from unstructured natural-language text? Prioritize methods that extract entities, relations, triples, RDF, or complete graph structures directly from text. Exclude surveys, GraphRAG, knowledge graph question answering, and papers that only use an existing knowledge graph.",LlmRe: A Zero-Shot Entity Relation Extraction Method Based on the Large Language Model,yes,yes
elicit,2026-08-02,"Which original research papers use end-to-end or incremental pipelines that use large language models to construct, integrate, or update knowledge graphs from unstructured documents? Prioritize systems that handle multiple stages such as entity extraction, relation extraction, entity resolution, triple generation, or graph integration. Exclude GraphRAG and systems that only query existing knowledge graphs.",Fine-Tuning Language Models for Triple Extraction with Data Augmentation,yes,yes
elicit,2026-08-02,"Which original research papers use instruction-tuned or fine-tuned large language models to transform unstructured text into knowledge graph triples or graph structures? Include supervised fine-tuning, instruction tuning, parameter-efficient fine-tuning, and schema-conditioned generation. Exclude surveys and papers without direct Text-to-Knowledge-Graph construction.",CodeKGC: Code Language Model for Generative Knowledge Graph Construction,yes,yes
elicit,2026-08-02,"Which original research papers present end-to-end or incremental pipelines that use large language models to construct, integrate, or update knowledge graphs from unstructured documents? Prioritize systems that handle multiple stages such as entity extraction, relation extraction, entity resolution, triple generation, or graph integration. Exclude GraphRAG and systems that only query existing knowledge graphs.",iText2KG: Incremental Knowledge Graphs Construction Using Large Language Models,yes,yes
elicit,2026-08-02,"Which original research papers use ontologies, schemas, or controlled relation vocabularies to guide the construction of knowledge graphs from unstructured natural-language text? Include NLP, transformer, and LLM methods that constrain entity types, relations, triples, RDF, or graph output. Exclude surveys, GraphRAG, knowledge graph question answering, and papers that only consume an existing knowledge graph.",Leveraging LLM for Automated Ontology Extraction and Knowledge Graph Generation,yes,yes
elicit,2026-08-02,"Which original research papers combine traditional NLP or transformer components with large language models to construct knowledge graphs from unstructured text? Prioritize pipelines that divide tasks such as entity extraction, relation extraction, entity linking, graph construction, or validation between multiple techniques. Exclude surveys and systems without direct Text-to-Knowledge-Graph construction.",A BERT-Assisted LLM Framework for Knowledge Graph Construction,yes,no
elicit,2026-08-02,"Which original research papers validate, correct, deduplicate, link, or integrate knowledge graph triples extracted from unstructured text? Include ontology verification, schema validation, entity linking, confidence estimation, hallucination reduction, and knowledge fusion. Exclude papers that only perform knowledge graph completion without extracting information from text.",Prompt Me One More Time: A Two-Step Knowledge Extraction Pipeline with Ontology-Based Verification,yes,yes
elicit,2026-08-02,"Which original research papers introduce benchmarks or datasets for evaluating systems that transform unstructured natural-language text into knowledge graph triples or graph structures? Prioritize benchmarks that evaluate entity extraction, relation extraction, triple generation, RDF generation, or complete Text-to-Knowledge-Graph construction. Exclude surveys, GraphRAG, knowledge graph question answering, and knowledge graph completion benchmarks without text input.",KnowledgeNet: A Benchmark Dataset for Knowledge Base Population,yes,yes
elicit,2026-08-02,"Which original research papers introduce benchmarks or datasets for evaluating systems that transform unstructured natural-language text into knowledge graph triples or graph structures? Prioritize benchmarks that evaluate entity extraction, relation extraction, triple generation, RDF generation, or complete Text-to-Knowledge-Graph construction. Exclude surveys, GraphRAG, knowledge graph question answering, and knowledge graph completion benchmarks without text input.",Text2KGBench: A Benchmark for Ontology-Driven Knowledge Graph Generation from Text,yes,yes
elicit,2026-08-02,"Which original research papers propose evaluation methods for generative or large-language-model-based knowledge graph construction from text? Include evaluation of triple correctness, factual grounding, hallucination, ontology compliance, schema validity, duplicate entities, and graph quality. Exclude papers that only report ordinary relation-extraction F1 without proposing a benchmark or evaluation methodology.",KGGen: Extracting Knowledge Graphs from Plain Text with Language Models,yes,yes
connected_papers,2026-08-02,A Comprehensive Survey on Automatic Knowledge Graph Construction,Knowledge Vault: A Web-Scale Approach to Probabilistic Knowledge Fusion,yes,yes
connected_papers,2026-08-02,OpenIE-based Approach for Knowledge Graph Construction from Text,Identifying Relations for Open Information Extraction,yes,yes
connected_papers,2026-08-02,OpenIE-based Approach for Knowledge Graph Construction from Text,FEEL: Framework for the Integration of Entity Extraction and Linking Systems,yes,yes
connected_papers,2026-08-02,OpenIE-based Approach for Knowledge Graph Construction from Text,On Aligning OpenIE Extractions with Knowledge Bases: A Case Study,yes,yes
connected_papers,2026-08-02,Seq2KG,MWO2KG and Echidna: Constructing and Exploring Knowledge Graphs from Maintenance Data,yes,yes

